Crude birth rate by birth order
Last modified: 25/09/2014
Code Year      CBR     CBR1     CBR2     CBR3     CBR4    CBR5p
SWE  2003    11.19     4.99     3.99     1.53     0.45     0.23
SWE  2004    11.34     5.04     4.11     1.53     0.43     0.24
SWE  2005    11.34     5.00     4.18     1.50     0.43     0.23
SWE  2006    11.76     5.23     4.30     1.56     0.43     0.23
SWE  2007    11.82     5.29     4.27     1.59     0.43     0.24
SWE  2008    11.92     5.39     4.27     1.59     0.43     0.24
SWE  2009    12.04     5.43     4.38     1.56     0.42     0.24
SWE  2010    12.34     5.50     4.53     1.63     0.43     0.25
SWE  2011    11.82     5.20     4.40     1.55     0.43     0.24
CHE  1998    11.11     5.09     4.09     1.42     0.37     0.13
CHE  1999    10.98     5.15     3.97     1.38     0.35     0.13
CHE  2000    10.92     5.12     3.95     1.36     0.36     0.13
CHE  2001    10.01     4.78     3.62     1.19     0.30     0.11
CHE  2002     9.95     4.77     3.61     1.18     0.29     0.10
CHE  2003     9.80     4.77     3.51     1.16     0.27     0.10
CHE  2004     9.90     4.89     3.54     1.12     0.26     0.09
CHE  2005     9.81     4.91     3.45     1.11     0.26     0.09
CHE  2006     9.81     4.90     3.47     1.11     0.25     0.09
CHE  2007     9.87     4.86     3.58     1.08     0.27     0.08
CHE  2008    10.04     4.90     3.65     1.14     0.27     0.09
CHE  2009    10.12     4.95     3.67     1.14     0.27     0.09
CHE  2010    10.26     5.06     3.71     1.15     0.26     0.08
CHE  2011    10.21     5.02     3.72     1.14     0.26     0.08
TWN  1976    25.89     9.07     7.18     5.04     2.60     1.99
TWN  1977    23.49     8.50     6.87     4.40     2.15     1.58
TWN  1978    24.07     8.54     7.34     4.75     2.07     1.36
TWN  1979    24.15     8.97     7.28     4.81     1.95     1.14
TWN  1980    23.13     8.43     7.19     4.66     1.87     0.98
TWN  1981    22.86     8.57     7.18     4.52     1.76     0.84
TWN  1982    21.80     8.40     6.88     4.19     1.60     0.73
TWN  1983    20.36     7.83     6.72     3.85     1.34     0.61
TWN  1984    19.43     7.64     6.68     3.47     1.13     0.51
TWN  1985    17.84     7.19     6.23     3.09     0.93     0.40
TWN  1986    15.76     6.82     5.35     2.53     0.74     0.32
TWN  1987    15.96     6.75     5.72     2.55     0.67     0.26
TWN  1988    17.25     6.94     6.31     2.99     0.74     0.26
TWN  1989    15.61     6.80     5.46     2.52     0.61     0.21
TWN  1990    16.62     7.12     5.99     2.72     0.60     0.19
TWN  1991    15.68     6.61     5.73     2.60     0.56     0.17
TWN  1992    15.60     6.82     5.54     2.54     0.54     0.16
TWN  1993    15.68     6.85     5.61     2.55     0.52     0.15
TWN  1994    15.44     6.72     5.64     2.48     0.48     0.13
TWN  1995    15.44     6.76     5.67     2.43     0.46     0.12
TWN  1996    15.20     6.53     5.63     2.46     0.47     0.12
TWN  1997    15.11     6.54     5.61     2.40     0.44     0.11
TWN  1998    12.42     5.71     4.33     1.91     0.37     0.10
TWN  1999    13.04     5.92     4.94     1.79     0.31     0.08
TWN  2000    14.01     6.52     5.14     1.91     0.35     0.09
TWN  2001    11.61     5.79     4.10     1.41     0.25     0.07
TWN  2002    10.99     5.51     4.03     1.17     0.21     0.06
TWN  2003    10.09     5.18     3.69     0.98     0.18     0.06
TWN  2004     9.62     5.04     3.48     0.89     0.17     0.05
TWN  2005     9.09     4.65     3.40     0.84     0.15     0.05
TWN  2006     9.02     4.75     3.27     0.80     0.15     0.05
TWN  2007     8.89     4.69     3.25     0.76     0.14     0.05
TWN  2008     8.54     4.55     3.11     0.71     0.13     0.05
TWN  2009     8.33     4.47     3.04     0.65     0.12     0.04
TWN  2010     7.19     3.82     2.60     0.62     0.12     0.04
GBR_NIR  1997    14.43     5.58     4.49     2.53     1.10     0.73
GBR_NIR  1998    14.13     5.52     4.41     2.49     1.02     0.68
GBR_NIR  1999    13.67     5.57     4.29     2.22     0.97     0.62
GBR_NIR  2000    12.78     5.15     3.99     2.16     0.91     0.57
GBR_NIR  2001    13.00     5.16     4.25     2.17     0.88     0.53
GBR_NIR  2002    12.61     5.22     4.06     2.05     0.80     0.48
GBR_NIR  2003    12.72     5.29     4.13     2.06     0.77     0.47
GBR_NIR  2004    13.04     5.42     4.32     2.11     0.77     0.43
GBR_NIR  2005    12.95     5.54     4.16     2.07     0.77     0.41
GBR_NIR  2006    13.37     5.71     4.34     2.10     0.80     0.41
GBR_NIR  2007    13.91     5.91     4.56     2.23     0.82     0.39
GBR_NIR  2008    14.45     6.19     4.72     2.28     0.85     0.41
GBR_NIR  2009    13.93     6.00     4.57     2.17     0.77     0.41
GBR_NIR  2010    14.07     5.86     4.77     2.26     0.80     0.38
GBR_NIR  2011    13.97     5.74     4.76     2.26     0.83     0.38
USA  1933    16.57     5.23     3.72     2.39     1.60     3.62
USA  1934    17.15     5.66     3.83     2.43     1.61     3.62
USA  1935    16.93     5.91     3.76     2.32     1.53     3.42
USA  1936    16.75     5.97     3.84     2.26     1.46     3.22
USA  1937    17.09     6.28     3.99     2.27     1.43     3.12
USA  1938    17.61     6.60     4.20     2.34     1.42     3.05
USA  1939    17.30     6.46     4.24     2.33     1.39     2.88
USA  1940    17.88     6.61     4.50     2.46     1.43     2.87
USA  1941    18.89     7.34     4.74     2.54     1.45     2.81
USA  1942    20.99     8.64     5.30     2.74     1.52     2.80
USA  1943    21.92     8.10     5.96     3.15     1.71     2.99
USA  1944    20.99     7.19     5.66     3.28     1.79     3.07
USA  1945    20.33     6.87     5.46     3.19     1.77     3.05
USA  1946    23.67     9.00     6.52     3.39     1.82     2.95
USA  1947    25.82    10.68     6.93     3.55     1.80     2.86
USA  1948    24.20     8.96     7.01     3.64     1.81     2.79
USA  1949    23.94     8.12     7.20     3.85     1.92     2.86
USA  1950    23.52     7.40     7.13     4.10     2.03     2.86
USA  1951    24.45     7.66     7.16     4.40     2.24     2.98
USA  1952    24.70     7.39     7.10     4.64     2.44     3.13
USA  1953    24.65     7.15     6.97     4.70     2.56     3.26
USA  1954    24.92     7.09     6.85     4.81     2.71     3.46
USA  1955    24.64     6.83     6.63     4.81     2.77     3.58
USA  1956    24.88     6.87     6.55     4.85     2.86     3.75
USA  1957    24.97     6.84     6.44     4.87     2.93     3.90
USA  1958    24.25     6.50     6.19     4.72     2.92     3.93
USA  1959    23.96     6.32     6.01     4.64     2.94     4.05
USA  1960    23.65     6.20     5.84     4.57     2.93     4.11
USA  1961    23.33     6.15     5.63     4.45     2.91     4.18
USA  1962    22.43     5.99     5.39     4.21     2.77     4.07
USA  1963    21.74     5.99     5.24     3.99     2.62     3.90
USA  1964    21.07     6.10     5.05     3.77     2.46     3.69
USA  1965    19.43     5.99     4.71     3.34     2.15     3.24
USA  1966    18.44     6.27     4.54     2.99     1.86     2.78
USA  1967    17.83     6.27     4.60     2.84     1.69     2.44
USA  1968    17.56     6.58     4.61     2.71     1.54     2.12
USA  1969    17.86     6.78     4.83     2.78     1.52     1.97
USA  1970    18.29     7.11     5.03     2.84     1.49     1.83
USA  1971    17.20     6.75     4.87     2.63     1.35     1.60
USA  1972    15.58     6.36     4.57     2.26     1.12     1.27
USA  1973    14.85     6.19     4.52     2.10     0.97     1.06
USA  1974    14.82     6.27     4.67     2.07     0.90     0.91
USA  1975    14.60     6.21     4.63     2.07     0.86     0.83
USA  1976    14.57     6.17     4.67     2.12     0.84     0.77
USA  1977    15.14     6.39     4.89     2.26     0.87     0.74
USA  1978    15.01     6.38     4.83     2.26     0.86     0.69
USA  1979    15.57     6.64     5.01     2.35     0.89     0.68
USA  1980    15.91     6.87     5.08     2.38     0.90     0.67
USA  1981    15.82     6.81     5.08     2.38     0.89     0.65
USA  1982    15.89     6.76     5.18     2.42     0.90     0.63
USA  1983    15.57     6.59     5.10     2.38     0.89     0.62
USA  1984    15.56     6.52     5.15     2.40     0.88     0.60
USA  1985    15.81     6.57     5.25     2.47     0.91     0.60
USA  1986    15.65     6.51     5.16     2.47     0.91     0.60
USA  1987    15.73     6.50     5.17     2.52     0.93     0.60
USA  1988    15.99     6.56     5.24     2.60     0.97     0.63
USA  1989    16.37     6.71     5.30     2.68     1.02     0.66
USA  1990    16.66     6.81     5.37     2.74     1.05     0.69
USA  1991    16.26     6.62     5.22     2.67     1.04     0.70
USA  1992    15.85     6.39     5.14     2.61     1.02     0.69
USA  1993    15.40     6.26     4.99     2.50     0.98     0.67
USA  1994    15.03     6.19     4.84     2.42     0.94     0.64
USA  1995    14.66     6.10     4.71     2.34     0.90     0.62
USA  1996    14.46     5.94     4.68     2.33     0.90     0.61
USA  1997    14.25     5.81     4.63     2.32     0.89     0.60
USA  1998    14.30     5.76     4.68     2.36     0.91     0.60
USA  1999    14.21     5.73     4.63     2.35     0.90     0.59
USA  2000    14.41     5.78     4.68     2.41     0.93     0.60
USA  2001    14.15     5.62     4.61     2.38     0.93     0.60
USA  2002    14.00     5.57     4.56     2.36     0.92     0.59
USA  2003    14.11     5.65     4.57     2.37     0.93     0.59
USA  2004    14.06     5.60     4.53     2.38     0.94     0.60
USA  2005    14.01     5.57     4.51     2.38     0.95     0.61
USA  2006    14.30     5.72     4.57     2.42     0.97     0.62
USA  2007    14.33     5.76     4.55     2.41     0.98     0.63
USA  2008    13.97     5.64     4.40     2.33     0.96     0.63
USA  2009    13.47     5.45     4.24     2.23     0.93     0.62
USA  2010    12.94     5.23     4.07     2.14     0.89     0.61
UKR  1959    20.89     9.96     6.40     2.53     1.00     0.99
UKR  1960    20.55     9.81     6.38     2.47     0.95     0.94
UKR  1961    19.45     9.02     6.38     2.33     0.88     0.84
UKR  1962    18.74     8.96     5.96     2.22     0.82     0.78
UKR  1963    17.89     8.24     5.95     2.17     0.79     0.74
UKR  1964    16.50     7.61     5.58     1.96     0.70     0.66
UKR  1965    15.25     6.80     5.34     1.84     0.66     0.61
UKR  1966    15.57     6.92     5.43     1.91     0.68     0.63
UKR  1967    15.13     6.87     5.24     1.81     0.63     0.58
UKR  1968    14.86     6.93     5.11     1.68     0.59     0.55
UKR  1969    14.64     6.90     5.12     1.58     0.54     0.50
UKR  1970    15.21     7.49     5.13     1.59     0.51     0.48
UKR  1971    15.47     7.88     5.09     1.56     0.49     0.46
UKR  1972    15.54     8.05     5.08     1.51     0.48     0.43
UKR  1973    14.89     7.89     4.81     1.37     0.43     0.39
UKR  1974    15.15     7.94     5.01     1.36     0.43     0.41
UKR  1975    15.11     7.89     5.04     1.36     0.42     0.41
UKR  1976    15.20     8.03     5.07     1.30     0.41     0.40
UKR  1977    14.71     7.65     5.07     1.25     0.38     0.37
UKR  1978    14.78     7.88     5.02     1.17     0.36     0.35
UKR  1979    14.78     7.98     5.03     1.12     0.33     0.32
UKR  1980    14.86     8.11     5.05     1.08     0.32     0.30
UKR  1981    14.61     7.57     5.29     1.13     0.32     0.29
UKR  1982    14.80     7.54     5.44     1.20     0.33     0.30
UKR  1983    15.96     7.62     6.27     1.41     0.36     0.30
UKR  1984    15.60     7.50     6.05     1.39     0.36     0.30
UKR  1985    14.98     7.08     5.87     1.37     0.36     0.30
UKR  1986    15.51     7.05     6.21     1.52     0.40     0.34
UKR  1987    14.85     6.84     5.84     1.44     0.39     0.34
UKR  1988    14.48     6.91     5.55     1.33     0.36     0.33
UKR  1989    13.42     6.63     5.00     1.17     0.32     0.30
UKR  1990    12.74     6.66     4.45     1.05     0.29     0.28
UKR  1991    12.21     6.63     4.04     0.98     0.29     0.26
UKR  1992    11.52     6.44     3.68     0.89     0.26     0.24
UKR  1993    10.76     6.06     3.42     0.82     0.24     0.23
UKR  1994    10.13     5.87     3.08     0.74     0.23     0.21
UKR  1995     9.65     5.69     2.89     0.68     0.21     0.19
UKR  1996     9.23     5.50     2.72     0.63     0.19     0.18
UKR  1997     8.82     5.25     2.60     0.60     0.19     0.18
UKR  1998     8.43     5.02     2.48     0.57     0.18     0.17
UKR  1999     7.89     4.68     2.33     0.54     0.17     0.17
UKR  2000     7.88     4.73     2.31     0.52     0.16     0.15
UKR  2001     7.78     4.67     2.30     0.50     0.15     0.14
UKR  2002     8.14     4.84     2.47     0.53     0.16     0.15
UKR  2003     8.58     5.11     2.62     0.55     0.16     0.15
UKR  2004     9.04     5.46     2.70     0.57     0.16     0.15
UKR  2005     9.08     5.37     2.80     0.60     0.17     0.15
UKR  2006     9.88     5.62     3.22     0.69     0.19     0.17
UKR  2007    10.21     5.78     3.34     0.71     0.20     0.17
UKR  2008    11.09     6.12     3.70     0.86     0.23     0.19
UKR  2009    11.17     5.93     3.84     0.95     0.25     0.20
