Period total fertility rates by birth order and period total fertility rates by birth order by age 40
Last modified: 25/09/2014
Code Year       TFR      TFR1      TFR2      TFR3      TFR4     TFR5p     TFR40   TFR40_1   TFR40_2   TFR40_3   TFR40_4  TFR40_5p
JPN  1976     1.840     0.821     0.746     0.226     0.034     0.013     1.830     0.818     0.743     0.224     0.033     0.011
JPN  1977     1.786     0.786     0.731     0.224     0.033     0.012     1.776     0.783     0.729     0.222     0.031     0.011
JPN  1978     1.774     0.776     0.727     0.228     0.031     0.011     1.765     0.774     0.725     0.226     0.030     0.010
JPN  1979     1.751     0.773     0.707     0.230     0.031     0.010     1.742     0.771     0.704     0.229     0.030     0.009
JPN  1980     1.731     0.779     0.685     0.228     0.030     0.010     1.722     0.776     0.682     0.226     0.029     0.008
JPN  1981     1.726     0.786     0.673     0.228     0.031     0.009     1.718     0.784     0.670     0.226     0.029     0.008
JPN  1982     1.755     0.793     0.684     0.237     0.032     0.009     1.746     0.791     0.682     0.235     0.031     0.008
JPN  1983     1.788     0.805     0.692     0.247     0.034     0.009     1.779     0.803     0.689     0.245     0.033     0.008
JPN  1984     1.800     0.796     0.701     0.258     0.036     0.010     1.790     0.794     0.698     0.256     0.034     0.008
JPN  1985     1.757     0.760     0.692     0.261     0.035     0.009     1.747     0.758     0.689     0.258     0.034     0.008
JPN  1986     1.719     0.742     0.673     0.259     0.036     0.009     1.709     0.740     0.670     0.257     0.035     0.008
JPN  1987     1.689     0.723     0.661     0.261     0.036     0.009     1.680     0.721     0.658     0.259     0.034     0.007
JPN  1988     1.657     0.702     0.647     0.263     0.037     0.009     1.647     0.699     0.644     0.260     0.036     0.008
JPN  1989     1.576     0.674     0.606     0.251     0.037     0.008     1.565     0.671     0.603     0.248     0.035     0.007
JPN  1990     1.543     0.664     0.587     0.246     0.038     0.008     1.531     0.661     0.584     0.243     0.036     0.007
JPN  1991     1.537     0.682     0.573     0.237     0.037     0.008     1.525     0.679     0.570     0.234     0.035     0.007
JPN  1992     1.506     0.678     0.558     0.225     0.036     0.008     1.493     0.675     0.554     0.222     0.035     0.007
JPN  1993     1.464     0.671     0.539     0.212     0.035     0.008     1.451     0.667     0.536     0.208     0.033     0.007
JPN  1994     1.507     0.698     0.552     0.212     0.036     0.009     1.493     0.694     0.548     0.208     0.034     0.008
JPN  1995     1.426     0.662     0.522     0.197     0.035     0.009     1.411     0.659     0.518     0.194     0.033     0.008
JPN  1996     1.430     0.661     0.534     0.192     0.034     0.009     1.414     0.658     0.529     0.189     0.032     0.008
JPN  1997     1.392     0.651     0.516     0.184     0.032     0.009     1.376     0.646     0.511     0.180     0.030     0.007
JPN  1998     1.388     0.659     0.511     0.179     0.031     0.008     1.371     0.654     0.506     0.175     0.029     0.007
JPN  1999     1.347     0.652     0.491     0.167     0.029     0.008     1.329     0.647     0.485     0.163     0.027     0.007
JPN  2000     1.359     0.660     0.496     0.165     0.030     0.008     1.339     0.655     0.489     0.161     0.027     0.007
JPN  2001     1.336     0.655     0.485     0.159     0.029     0.008     1.316     0.650     0.479     0.155     0.026     0.007
JPN  2002     1.318     0.658     0.475     0.150     0.027     0.008     1.297     0.652     0.468     0.145     0.025     0.007
JPN  2003     1.290     0.637     0.474     0.145     0.026     0.008     1.266     0.630     0.467     0.140     0.024     0.006
JPN  2004     1.288     0.636     0.476     0.142     0.026     0.008     1.263     0.628     0.468     0.137     0.023     0.006
JPN  2005     1.254     0.620     0.463     0.139     0.025     0.007     1.228     0.611     0.454     0.134     0.023     0.006
JPN  2006     1.313     0.649     0.481     0.149     0.027     0.008     1.285     0.640     0.471     0.143     0.024     0.006
JPN  2007     1.331     0.655     0.483     0.157     0.028     0.008     1.299     0.645     0.472     0.151     0.025     0.007
JPN  2008     1.360     0.667     0.491     0.163     0.030     0.009     1.326     0.656     0.479     0.156     0.027     0.007
JPN  2009     1.361     0.674     0.486     0.161     0.030     0.009     1.324     0.662     0.473     0.155     0.027     0.008
LTU  1970     2.407     1.123     0.772     0.282     0.116     0.114     2.327     1.112     0.756     0.266     0.103     0.089
LTU  1971     2.426     1.114     0.805     0.283     0.113     0.111     2.344     1.102     0.787     0.266     0.101     0.088
LTU  1972     2.355     1.064     0.798     0.280     0.110     0.104     2.276     1.053     0.779     0.262     0.099     0.082
LTU  1973     2.228     1.004     0.769     0.258     0.099     0.099     2.158     0.996     0.755     0.243     0.088     0.077
LTU  1974     2.212     0.996     0.774     0.248     0.097     0.097     2.148     0.989     0.760     0.235     0.087     0.077
LTU  1975     2.181     0.983     0.764     0.250     0.092     0.092     2.120     0.975     0.752     0.237     0.083     0.073
LTU  1976     2.174     0.975     0.771     0.244     0.094     0.091     2.112     0.967     0.758     0.230     0.084     0.073
LTU  1977     2.133     0.959     0.758     0.245     0.085     0.086     2.077     0.952     0.746     0.233     0.077     0.070
LTU  1978     2.081     0.961     0.735     0.222     0.082     0.082     2.026     0.952     0.723     0.210     0.074     0.066
LTU  1979     2.046     0.950     0.724     0.215     0.079     0.078     1.992     0.944     0.712     0.203     0.072     0.063
LTU  1980     1.993     0.940     0.704     0.204     0.072     0.073     1.948     0.935     0.693     0.194     0.066     0.060
LTU  1981     1.985     0.931     0.707     0.207     0.071     0.070     1.935     0.924     0.696     0.195     0.064     0.057
LTU  1982     1.979     0.910     0.706     0.218     0.074     0.071     1.928     0.904     0.695     0.205     0.066     0.058
LTU  1983     2.111     0.935     0.799     0.227     0.077     0.072     2.063     0.929     0.788     0.217     0.071     0.058
LTU  1984     2.079     0.940     0.765     0.229     0.075     0.070     2.034     0.935     0.755     0.218     0.069     0.058
LTU  1985     2.084     0.969     0.760     0.223     0.069     0.063     2.041     0.963     0.751     0.213     0.063     0.051
LTU  1986     2.121     0.976     0.784     0.229     0.069     0.064     2.078     0.971     0.774     0.218     0.063     0.052
LTU  1987     2.105     0.992     0.762     0.222     0.071     0.059     2.062     0.986     0.752     0.211     0.065     0.047
LTU  1988     2.013     0.973     0.729     0.199     0.059     0.053     1.982     0.969     0.722     0.192     0.054     0.045
LTU  1989     1.983     0.974     0.708     0.196     0.058     0.048     1.956     0.970     0.702     0.188     0.054     0.042
LTU  1990     2.026     0.987     0.721     0.215     0.060     0.044     1.999     0.982     0.715     0.208     0.056     0.037
LTU  1991     2.007     1.010     0.689     0.208     0.058     0.043     1.983     1.006     0.684     0.202     0.054     0.037
LTU  1992     1.969     0.994     0.669     0.205     0.060     0.041     1.945     0.990     0.664     0.199     0.056     0.036
LTU  1993     1.740     0.879     0.599     0.172     0.052     0.038     1.715     0.875     0.594     0.166     0.048     0.032
LTU  1994     1.575     0.806     0.535     0.152     0.049     0.034     1.558     0.804     0.531     0.147     0.046     0.030
LTU  1995     1.552     0.793     0.532     0.146     0.047     0.035     1.534     0.789     0.528     0.142     0.044     0.030
LTU  1996     1.495     0.751     0.520     0.144     0.044     0.037     1.475     0.748     0.516     0.139     0.041     0.032
LTU  1997     1.469     0.725     0.513     0.145     0.047     0.038     1.451     0.722     0.510     0.140     0.044     0.034
LTU  1998     1.460     0.695     0.519     0.154     0.051     0.041     1.440     0.692     0.516     0.148     0.048     0.037
LTU  1999     1.462     0.694     0.507     0.164     0.054     0.042     1.440     0.692     0.502     0.159     0.050     0.037
LTU  2000     1.391     0.666     0.472     0.157     0.053     0.043     1.369     0.663     0.468     0.151     0.049     0.038
LTU  2001     1.288     0.616     0.441     0.139     0.049     0.043     1.266     0.613     0.436     0.134     0.045     0.037
LTU  2002     1.234     0.606     0.418     0.126     0.045     0.040     1.213     0.602     0.414     0.121     0.042     0.034
LTU  2003     1.264     0.618     0.424     0.135     0.045     0.041     1.243     0.616     0.421     0.129     0.041     0.036
LTU  2004     1.275     0.634     0.429     0.128     0.043     0.040     1.253     0.632     0.424     0.121     0.040     0.036
LTU  2005     1.294     0.631     0.446     0.131     0.045     0.040     1.271     0.629     0.441     0.124     0.041     0.035
LTU  2006     1.326     0.667     0.457     0.126     0.035     0.040     1.301     0.664     0.451     0.119     0.032     0.035
LTU  2007     1.361     0.697     0.465     0.129     0.039     0.031     1.338     0.694     0.458     0.123     0.035     0.027
LTU  2008     1.448     0.731     0.513     0.135     0.037     0.033     1.421     0.727     0.505     0.127     0.033     0.029
LTU  2009     1.503     0.732     0.550     0.150     0.037     0.034     1.475     0.729     0.542     0.141     0.034     0.029
LTU  2010     1.501     0.690     0.582     0.157     0.038     0.033     1.471     0.686     0.574     0.149     0.034     0.028
LTU  2011     1.551     0.710     0.604     0.164     0.041     0.031     1.520     0.707     0.595     0.155     0.037     0.026
NLD  1950     3.097     0.804     0.743     0.531     0.348     0.671     2.846     0.793     0.724     0.505     0.318     0.506
NLD  1951     3.050     0.824     0.717     0.515     0.344     0.650     2.811     0.814     0.699     0.490     0.316     0.492
NLD  1952     3.087     0.873     0.717     0.509     0.344     0.644     2.849     0.863     0.700     0.484     0.316     0.486
NLD  1953     3.032     0.850     0.726     0.501     0.334     0.621     2.803     0.841     0.709     0.477     0.306     0.470
NLD  1954     3.029     0.859     0.740     0.495     0.325     0.610     2.809     0.851     0.725     0.473     0.298     0.462
NLD  1955     3.033     0.886     0.739     0.499     0.325     0.584     2.821     0.878     0.725     0.477     0.297     0.443
NLD  1956     3.053     0.908     0.757     0.492     0.318     0.579     2.847     0.900     0.744     0.470     0.292     0.441
NLD  1957     3.080     0.941     0.776     0.497     0.312     0.554     2.880     0.933     0.763     0.477     0.285     0.422
NLD  1958     3.107     0.969     0.794     0.499     0.308     0.537     2.918     0.963     0.782     0.479     0.284     0.411
NLD  1959     3.171     0.987     0.839     0.511     0.308     0.525     2.983     0.980     0.827     0.491     0.283     0.401
NLD  1960     3.122     0.959     0.845     0.521     0.300     0.497     2.945     0.951     0.834     0.501     0.276     0.383
NLD  1961     3.217     0.990     0.875     0.548     0.316     0.489     3.046     0.983     0.864     0.530     0.291     0.378
NLD  1962     3.175     0.994     0.868     0.543     0.308     0.462     3.015     0.988     0.857     0.524     0.286     0.360
NLD  1963     3.192     0.994     0.890     0.551     0.312     0.445     3.038     0.988     0.879     0.534     0.290     0.347
NLD  1964     3.165     1.003     0.891     0.556     0.306     0.409     3.021     0.997     0.880     0.538     0.284     0.321
NLD  1965     3.038     1.009     0.873     0.523     0.280     0.353     2.908     1.003     0.863     0.506     0.260     0.276
NLD  1966     2.901     1.006     0.863     0.489     0.249     0.293     2.785     1.000     0.853     0.473     0.231     0.228
NLD  1967     2.812     1.012     0.861     0.461     0.226     0.253     2.707     1.006     0.851     0.446     0.208     0.196
NLD  1968     2.713     0.983     0.860     0.441     0.210     0.219     2.623     0.977     0.852     0.428     0.195     0.171
NLD  1969     2.746     0.969     0.896     0.463     0.208     0.209     2.660     0.964     0.888     0.450     0.194     0.164
NLD  1970     2.570     0.905     0.862     0.438     0.186     0.180     2.494     0.899     0.854     0.426     0.173     0.141
NLD  1971     2.360     0.871     0.804     0.383     0.157     0.144     2.296     0.866     0.797     0.374     0.147     0.112
NLD  1972     2.149     0.843     0.762     0.316     0.122     0.106     2.101     0.839     0.755     0.308     0.115     0.083
NLD  1973     1.903     0.779     0.703     0.249     0.091     0.081     1.865     0.775     0.698     0.244     0.085     0.064
NLD  1974     1.773     0.742     0.683     0.216     0.071     0.061     1.742     0.739     0.678     0.212     0.066     0.047
NLD  1975     1.664     0.708     0.650     0.193     0.061     0.051     1.639     0.706     0.646     0.190     0.058     0.040
NLD  1976     1.632     0.689     0.645     0.193     0.058     0.048     1.609     0.686     0.641     0.190     0.054     0.037
NLD  1977     1.580     0.663     0.625     0.192     0.056     0.044     1.558     0.660     0.622     0.189     0.052     0.035
NLD  1978     1.584     0.666     0.620     0.201     0.054     0.041     1.565     0.664     0.618     0.199     0.052     0.033
NLD  1979     1.563     0.669     0.592     0.206     0.055     0.042     1.546     0.666     0.590     0.203     0.053     0.034
NLD  1980     1.603     0.680     0.594     0.223     0.061     0.045     1.584     0.678     0.591     0.221     0.058     0.036
NLD  1981     1.564     0.658     0.574     0.223     0.063     0.045     1.545     0.656     0.571     0.221     0.061     0.036
NLD  1982     1.496     0.628     0.544     0.215     0.063     0.045     1.477     0.626     0.541     0.212     0.060     0.037
NLD  1983     1.468     0.633     0.524     0.206     0.061     0.045     1.450     0.631     0.522     0.203     0.058     0.037
NLD  1984     1.492     0.657     0.521     0.208     0.062     0.044     1.474     0.655     0.518     0.206     0.059     0.036
NLD  1985     1.512     0.655     0.537     0.212     0.063     0.044     1.494     0.653     0.535     0.209     0.061     0.037
NLD  1986     1.553     0.667     0.558     0.219     0.064     0.045     1.535     0.665     0.555     0.217     0.061     0.037
NLD  1987     1.558     0.673     0.556     0.219     0.065     0.045     1.540     0.670     0.553     0.216     0.063     0.038
NLD  1988     1.545     0.681     0.540     0.215     0.063     0.046     1.527     0.678     0.537     0.213     0.061     0.038
NLD  1989     1.554     0.681     0.545     0.219     0.065     0.044     1.534     0.678     0.541     0.216     0.063     0.037
NLD  1990     1.617     0.724     0.556     0.227     0.066     0.045     1.596     0.720     0.552     0.224     0.063     0.037
NLD  1991     1.612     0.727     0.557     0.221     0.064     0.043     1.589     0.722     0.552     0.217     0.061     0.036
NLD  1992     1.587     0.702     0.559     0.219     0.064     0.043     1.563     0.697     0.554     0.215     0.062     0.036
NLD  1993     1.572     0.700     0.560     0.212     0.062     0.038     1.547     0.695     0.554     0.207     0.059     0.032
NLD  1994     1.569     0.703     0.555     0.212     0.061     0.038     1.543     0.697     0.548     0.208     0.058     0.032
NLD  1995     1.531     0.691     0.554     0.198     0.056     0.033     1.506     0.685     0.547     0.193     0.053     0.027
NLD  1996     1.529     0.702     0.545     0.195     0.054     0.032     1.502     0.696     0.537     0.191     0.051     0.027
NLD  1997     1.562     0.739     0.546     0.192     0.054     0.031     1.534     0.732     0.538     0.186     0.051     0.026
NLD  1998     1.628     0.783     0.562     0.198     0.054     0.031     1.598     0.775     0.553     0.193     0.051     0.026
NLD  1999     1.652     0.794     0.577     0.198     0.056     0.027     1.620     0.786     0.568     0.192     0.053     0.022
NLD  2000     1.722     0.826     0.604     0.205     0.063     0.024     1.689     0.819     0.594     0.199     0.058     0.019
NLD  2001     1.710     0.820     0.606     0.200     0.054     0.029     1.675     0.812     0.595     0.194     0.050     0.024
NLD  2002     1.731     0.822     0.622     0.206     0.054     0.027     1.696     0.813     0.611     0.199     0.050     0.022
NLD  2003     1.747     0.828     0.630     0.209     0.053     0.027     1.711     0.819     0.619     0.202     0.049     0.022
NLD  2004     1.726     0.819     0.623     0.206     0.052     0.026     1.688     0.809     0.611     0.198     0.048     0.021
NLD  2005     1.709     0.802     0.623     0.206     0.052     0.026     1.670     0.792     0.611     0.199     0.048     0.021
NLD  2006     1.721     0.797     0.635     0.209     0.054     0.026     1.682     0.787     0.622     0.202     0.050     0.021
NLD  2007     1.718     0.799     0.627     0.212     0.055     0.025     1.678     0.789     0.614     0.204     0.050     0.020
NLD  2008     1.774     0.819     0.651     0.223     0.056     0.025     1.731     0.808     0.637     0.214     0.052     0.020
NLD  2009     1.791     0.839     0.645     0.224     0.057     0.025     1.746     0.827     0.631     0.215     0.052     0.020
NOR  1967     2.785     0.923     0.861     0.572     0.269     0.161     2.700     0.916     0.845     0.551     0.249     0.139
NOR  1968     2.753     0.962     0.835     0.548     0.255     0.153     2.675     0.955     0.824     0.529     0.235     0.130
NOR  1969     2.697     0.946     0.821     0.528     0.248     0.154     2.623     0.940     0.811     0.511     0.231     0.131
NOR  1970     2.506     0.919     0.772     0.473     0.213     0.130     2.449     0.914     0.764     0.459     0.200     0.111
NOR  1971     2.489     0.946     0.775     0.450     0.200     0.118     2.436     0.942     0.767     0.439     0.188     0.100
NOR  1972     2.384     0.926     0.772     0.409     0.174     0.103     2.337     0.922     0.765     0.399     0.164     0.087
NOR  1973     2.230     0.882     0.742     0.373     0.147     0.086     2.191     0.880     0.737     0.365     0.137     0.072
NOR  1974     2.131     0.858     0.735     0.341     0.123     0.074     2.095     0.855     0.730     0.334     0.116     0.060
NOR  1975     1.983     0.822     0.703     0.298     0.101     0.059     1.954     0.820     0.698     0.292     0.096     0.048
NOR  1976     1.863     0.785     0.661     0.275     0.089     0.053     1.837     0.783     0.657     0.271     0.083     0.043
NOR  1977     1.754     0.735     0.643     0.257     0.077     0.043     1.731     0.732     0.639     0.251     0.073     0.036
NOR  1978     1.769     0.730     0.659     0.266     0.076     0.038     1.746     0.727     0.655     0.261     0.072     0.031
NOR  1979     1.751     0.718     0.648     0.270     0.077     0.037     1.730     0.716     0.645     0.266     0.073     0.031
NOR  1980     1.723     0.714     0.639     0.263     0.073     0.033     1.702     0.712     0.636     0.258     0.069     0.027
NOR  1981     1.701     0.713     0.618     0.266     0.073     0.031     1.681     0.710     0.614     0.262     0.069     0.026
NOR  1982     1.709     0.712     0.616     0.276     0.073     0.032     1.689     0.709     0.612     0.272     0.069     0.026
NOR  1983     1.656     0.686     0.594     0.273     0.072     0.030     1.637     0.684     0.591     0.269     0.068     0.025
NOR  1984     1.659     0.697     0.596     0.266     0.070     0.030     1.638     0.694     0.593     0.260     0.066     0.025
NOR  1985     1.677     0.720     0.588     0.267     0.072     0.029     1.657     0.718     0.585     0.263     0.067     0.024
NOR  1986     1.711     0.750     0.598     0.267     0.069     0.027     1.691     0.748     0.594     0.263     0.065     0.022
NOR  1987     1.745     0.746     0.627     0.276     0.069     0.027     1.725     0.743     0.624     0.271     0.065     0.023
NOR  1988     1.841     0.798     0.646     0.295     0.075     0.027     1.818     0.795     0.641     0.289     0.070     0.023
NOR  1989     1.887     0.807     0.662     0.313     0.078     0.028     1.865     0.804     0.657     0.307     0.074     0.024
NOR  1990     1.932     0.816     0.675     0.328     0.082     0.031     1.907     0.813     0.670     0.321     0.077     0.026
NOR  1991     1.918     0.812     0.660     0.329     0.087     0.030     1.891     0.809     0.654     0.322     0.082     0.026
NOR  1992     1.885     0.782     0.665     0.319     0.086     0.033     1.857     0.778     0.658     0.313     0.080     0.028
NOR  1993     1.860     0.759     0.663     0.316     0.090     0.032     1.831     0.756     0.656     0.307     0.085     0.027
NOR  1994     1.865     0.755     0.673     0.316     0.088     0.033     1.836     0.751     0.666     0.308     0.083     0.028
NOR  1995     1.868     0.757     0.675     0.321     0.083     0.033     1.837     0.753     0.666     0.313     0.077     0.028
NOR  1996     1.889     0.768     0.677     0.328     0.084     0.032     1.855     0.763     0.669     0.318     0.078     0.028
NOR  1997     1.856     0.752     0.662     0.325     0.084     0.033     1.821     0.747     0.653     0.315     0.078     0.028
NOR  1998     1.813     0.748     0.644     0.309     0.080     0.031     1.778     0.743     0.635     0.299     0.074     0.027
NOR  1999     1.844     0.766     0.650     0.312     0.084     0.032     1.808     0.760     0.641     0.303     0.077     0.027
NOR  2000     1.851     0.772     0.653     0.309     0.083     0.033     1.813     0.766     0.644     0.299     0.077     0.027
NOR  2001     1.784     0.751     0.635     0.290     0.076     0.032     1.747     0.745     0.625     0.280     0.070     0.027
NOR  2002     1.754     0.745     0.634     0.272     0.073     0.030     1.714     0.738     0.623     0.262     0.066     0.025
NOR  2003     1.796     0.771     0.641     0.281     0.072     0.031     1.757     0.765     0.629     0.270     0.067     0.026
NOR  2004     1.828     0.796     0.648     0.282     0.073     0.029     1.787     0.788     0.636     0.271     0.068     0.024
NOR  2005     1.836     0.795     0.659     0.281     0.072     0.029     1.792     0.787     0.647     0.270     0.066     0.023
NOR  2006     1.904     0.835     0.689     0.279     0.072     0.030     1.858     0.825     0.676     0.267     0.065     0.025
NOR  2007     1.901     0.828     0.685     0.287     0.072     0.029     1.851     0.818     0.670     0.275     0.066     0.024
NOR  2008     1.957     0.873     0.689     0.290     0.073     0.031     1.906     0.862     0.675     0.278     0.067     0.025
NOR  2009     1.980     0.875     0.709     0.292     0.073     0.031     1.927     0.863     0.692     0.280     0.067     0.025
PRT  1959     3.150     0.991     0.626     0.445     0.310     0.779     2.904     0.980     0.614     0.428     0.289     0.594
PRT  1960     3.159     1.014     0.642     0.429     0.305     0.769     2.922     1.001     0.630     0.414     0.286     0.591
PRT  1961     3.224     1.013     0.658     0.442     0.317     0.795     2.990     1.001     0.646     0.426     0.298     0.620
PRT  1962     3.287     1.034     0.686     0.450     0.311     0.806     3.051     1.022     0.673     0.433     0.293     0.630
PRT  1963     3.196     0.971     0.688     0.456     0.307     0.774     2.967     0.959     0.676     0.439     0.289     0.605
PRT  1964     3.308     1.009     0.703     0.464     0.339     0.794     3.075     0.996     0.690     0.447     0.317     0.626
PRT  1965     3.245     1.023     0.694     0.452     0.312     0.764     3.023     1.011     0.681     0.435     0.294     0.602
PRT  1966     3.240     1.002     0.718     0.448     0.311     0.761     3.022     0.991     0.705     0.432     0.292     0.602
PRT  1967     3.212     1.028     0.723     0.428     0.295     0.738     2.997     1.016     0.709     0.412     0.278     0.582
PRT  1968     3.147     1.026     0.719     0.416     0.278     0.708     2.943     1.016     0.705     0.400     0.260     0.563
PRT  1969     3.111     1.011     0.735     0.412     0.269     0.684     2.911     1.000     0.722     0.397     0.252     0.539
PRT  1970     3.001     1.008     0.726     0.392     0.253     0.623     2.820     0.997     0.712     0.377     0.237     0.496
PRT  1971     3.000     1.027     0.747     0.392     0.240     0.595     2.819     1.017     0.735     0.377     0.225     0.466
PRT  1972     2.835     0.994     0.719     0.366     0.220     0.536     2.668     0.984     0.705     0.352     0.205     0.422
PRT  1973     2.747     0.968     0.699     0.359     0.213     0.508     2.579     0.957     0.685     0.344     0.198     0.394
PRT  1974     2.693     0.983     0.700     0.347     0.198     0.465     2.538     0.973     0.687     0.332     0.185     0.361
PRT  1975     2.756     1.069     0.749     0.337     0.182     0.419     2.610     1.060     0.737     0.323     0.168     0.322
PRT  1976     2.799     1.243     0.718     0.313     0.168     0.357     2.668     1.233     0.707     0.299     0.155     0.274
PRT  1977     2.677     1.205     0.738     0.287     0.146     0.301     2.558     1.195     0.727     0.276     0.135     0.226
PRT  1978     2.445     1.079     0.725     0.264     0.128     0.249     2.341     1.069     0.715     0.254     0.118     0.185
PRT  1979     2.313     0.980     0.734     0.262     0.123     0.213     2.221     0.972     0.724     0.252     0.114     0.159
PRT  1980     2.253     0.971     0.714     0.259     0.117     0.192     2.167     0.961     0.704     0.249     0.109     0.144
PRT  1981     2.137     0.895     0.709     0.253     0.110     0.170     2.061     0.887     0.700     0.244     0.102     0.129
PRT  1982     2.091     0.892     0.689     0.250     0.107     0.152     2.025     0.886     0.682     0.241     0.099     0.116
PRT  1983     1.973     0.852     0.644     0.238     0.100     0.139     1.912     0.847     0.637     0.230     0.093     0.106
PRT  1984     1.932     0.855     0.620     0.233     0.099     0.126     1.879     0.849     0.614     0.225     0.092     0.098
PRT  1985     1.755     0.792     0.555     0.209     0.088     0.111     1.706     0.786     0.549     0.202     0.081     0.087
PRT  1986     1.697     0.782     0.536     0.196     0.083     0.100     1.652     0.776     0.531     0.189     0.078     0.079
PRT  1987     1.648     0.769     0.526     0.185     0.077     0.090     1.607     0.764     0.520     0.179     0.072     0.072
PRT  1988     1.632     0.795     0.517     0.171     0.071     0.078     1.594     0.790     0.512     0.165     0.066     0.062
PRT  1989     1.584     0.791     0.497     0.162     0.064     0.070     1.551     0.787     0.492     0.156     0.059     0.057
PRT  1990     1.557     0.785     0.498     0.156     0.059     0.060     1.526     0.781     0.492     0.150     0.054     0.050
PRT  1991     1.560     0.793     0.503     0.153     0.055     0.055     1.529     0.788     0.497     0.147     0.051     0.046
PRT  1992     1.539     0.787     0.500     0.148     0.052     0.051     1.510     0.783     0.495     0.142     0.049     0.042
PRT  1993     1.518     0.789     0.491     0.142     0.051     0.045     1.489     0.785     0.485     0.136     0.046     0.037
PRT  1994     1.446     0.753     0.465     0.137     0.049     0.041     1.419     0.749     0.460     0.131     0.045     0.034
PRT  1995     1.410     0.735     0.460     0.133     0.043     0.040     1.382     0.730     0.454     0.126     0.039     0.033
PRT  1996     1.444     0.753     0.480     0.133     0.044     0.035     1.417     0.748     0.474     0.126     0.040     0.029
PRT  1997     1.473     0.767     0.494     0.136     0.043     0.033     1.444     0.762     0.487     0.129     0.039     0.027
PRT  1998     1.474     0.765     0.503     0.136     0.041     0.030     1.446     0.760     0.496     0.129     0.037     0.024
PRT  1999     1.502     0.811     0.498     0.131     0.038     0.025     1.471     0.805     0.489     0.123     0.033     0.020
PRT  2000     1.549     0.842     0.516     0.132     0.036     0.023     1.514     0.834     0.506     0.123     0.032     0.019
PRT  2001     1.450     0.773     0.495     0.127     0.034     0.021     1.415     0.764     0.484     0.119     0.030     0.017
PRT  2002     1.465     0.799     0.486     0.125     0.034     0.021     1.429     0.791     0.474     0.116     0.030     0.017
PRT  2003     1.439     0.788     0.476     0.123     0.034     0.018     1.402     0.779     0.464     0.114     0.030     0.014
PRT  2004     1.404     0.762     0.466     0.123     0.034     0.018     1.365     0.752     0.454     0.113     0.031     0.015
PRT  2005     1.414     0.773     0.474     0.120     0.031     0.016     1.375     0.764     0.461     0.111     0.027     0.013
PRT  2006     1.373     0.754     0.461     0.114     0.030     0.014     1.333     0.745     0.448     0.104     0.025     0.011
PRT  2007     1.349     0.742     0.456     0.111     0.030     0.011     1.310     0.732     0.442     0.102     0.026     0.008
PRT  2008     1.393     0.764     0.471     0.116     0.029     0.013     1.351     0.754     0.456     0.106     0.025     0.010
PRT  2009     1.344     0.749     0.451     0.108     0.027     0.009     1.301     0.738     0.435     0.098     0.024     0.007
PRT  2010     1.390     0.764     0.472     0.114     0.028     0.012     1.343     0.751     0.454     0.103     0.024     0.010
PRT  2011     1.347     0.745     0.456     0.109     0.026     0.012     1.299     0.731     0.438     0.098     0.023     0.009
PRT  2012     1.281     0.725     0.417     0.104     0.025     0.010     1.234     0.712     0.399     0.093     0.022     0.009
RUS  1959     2.583     1.042     0.720     0.351     0.190     0.280     2.467     1.036     0.711     0.339     0.175     0.206
RUS  1960     2.556     1.021     0.726     0.354     0.186     0.269     2.447     1.015     0.717     0.343     0.172     0.200
RUS  1961     2.458     1.036     0.689     0.325     0.168     0.240     2.363     1.030     0.680     0.315     0.157     0.181
RUS  1962     2.340     1.008     0.659     0.300     0.155     0.219     2.252     1.001     0.651     0.290     0.144     0.166
RUS  1963     2.283     1.004     0.648     0.285     0.142     0.203     2.201     0.998     0.640     0.276     0.133     0.155
RUS  1964     2.160     0.986     0.609     0.252     0.127     0.185     2.084     0.980     0.600     0.244     0.119     0.142
RUS  1965     2.087     0.955     0.593     0.240     0.121     0.177     2.017     0.950     0.585     0.232     0.113     0.137
RUS  1966     2.098     0.970     0.606     0.233     0.116     0.173     2.032     0.964     0.598     0.226     0.109     0.136
RUS  1967     2.006     0.941     0.593     0.211     0.104     0.157     1.947     0.935     0.585     0.204     0.097     0.125
RUS  1968     1.970     0.931     0.592     0.201     0.097     0.149     1.913     0.926     0.585     0.194     0.091     0.119
RUS  1969     1.984     0.947     0.620     0.194     0.089     0.135     1.933     0.941     0.613     0.187     0.084     0.108
RUS  1970     1.995     0.986     0.613     0.189     0.082     0.126     1.947     0.981     0.606     0.183     0.077     0.101
RUS  1971     2.024     1.001     0.637     0.190     0.081     0.116     1.979     0.996     0.631     0.183     0.076     0.093
RUS  1972     2.027     0.992     0.664     0.185     0.076     0.111     1.982     0.988     0.657     0.178     0.070     0.088
RUS  1973     1.962     0.959     0.652     0.178     0.070     0.103     1.919     0.955     0.646     0.172     0.065     0.082
RUS  1974     1.995     0.983     0.663     0.179     0.069     0.100     1.953     0.979     0.657     0.173     0.065     0.079
RUS  1975     1.971     0.976     0.661     0.171     0.069     0.094     1.931     0.972     0.655     0.166     0.064     0.074
RUS  1976     1.953     0.975     0.660     0.166     0.063     0.089     1.915     0.971     0.655     0.161     0.058     0.069
RUS  1977     1.918     0.959     0.658     0.162     0.058     0.081     1.884     0.956     0.652     0.157     0.054     0.064
